"filename", "language", "YAML", "Swift", "Dart", "JSON", "XML", "Markdown", "CMake", "HTML", "C++", "Groovy", "Properties", "comment", "blank", "total"
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 4, 5, 36
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 6, 16
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 7, 41
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 7, 16, 72
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 9, 34
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 4, 10, 44
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 6, 2, 17
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 2, 10, 66
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 6, 6, 20
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 24, 55, 289
"a:\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 31, 24, 103
