"filename", "language", "C++", "JSON", "Markdown", "CMake", "YAML", "Dart", "Swift", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\events\presentation\map\widgets\search_event_appbar.dart", "Dart", 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 15, 27, 329
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\profile\presentation\favorites_page.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 2, 5, 56
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\profile\presentation\history_page.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 3, 5, 46
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\profile\presentation\preferences_page.dart", "Dart", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 9, 14, 144
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\profile\presentation\profile\profile_page.dart", "Dart", 0, 0, 0, 0, 0, 225, 0, 0, 0, 0, 0, 2, 14, 241
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\profile\user_events_page.dart", "Dart", 0, 0, 0, 0, 0, 229, 0, 0, 0, 0, 0, 243, 35, 507
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\settings\presentation\about\about_page.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\settings\presentation\settings\settings_page.dart", "Dart", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 3, 7, 68
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\features\user\presentation\user_profile_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\l10n\generated\app_localizations.dart", "Dart", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 92, 23, 176
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\l10n\generated\app_localizations_en.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 10, 32
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\l10n\generated\app_localizations_zh.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 10, 32
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\StaggeredGrid\Tool\full_screen_image_page.dart", "Dart", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 56, 42, 144
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\StaggeredGrid\pages\home_page.dart", "Dart", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 102, 27, 243
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\StaggeredGrid\pages\mine_page.dart", "Dart", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 5, 85
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\deprecated\search_event_appbar.dart", "Dart", 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 15, 27, 329
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\test_evente_detail_page.dart", "Dart", 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 3, 8, 168
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\test_home_page.dart", "Dart", 0, 0, 0, 0, 0, 330, 0, 0, 0, 0, 0, 3, 14, 347
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\test_page_qq.dart", "Dart", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 145, 52, 254
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\test_profile_page.dart", "Dart", 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 16, 271
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\test_staggered_grid.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 9, 56
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\playground\test_user_profile.dart", "Dart", 0, 0, 0, 0, 0, 427, 0, 0, 0, 0, 0, 10, 30, 467
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\lib\shared\extensions\common_extensions.dart", "Dart", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 16, 12, 60
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\CMakeLists.txt", "CMake", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\flutter\generated_plugin_registrant.cc", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 28
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 4, 35
